date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:19	55993/55993	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:19%20GMT	http://paul-themes.com/html/skape/homepage-07.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-07.html	(from )
18:45:19	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Oct%202020%2013:45:19%20GMT	http://paul-themes.com/robots.txt		(from )
18:45:19	2144/2144	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f2fe01f-860%22	http://paul-themes.com/html/skape/assets/img/root/favicon.svg	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/img/root/favicon.svg	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:20	316/316	---MCZ	200	added ('OK')	text/css	etag:W/%225f2fe023-171%22	http://paul-themes.com/html/skape/assets/fonts/Swansea/style.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/fonts/Swansea/style.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:20	153136/153136	---MCZ	200	added ('OK')	text/css	etag:W/%225f2fe01f-25630%22	http://paul-themes.com/html/skape/assets/css/framework/bootstrap.min.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/css/framework/bootstrap.min.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:21	1966/1966	---MCZ	200	added ('OK')	text/css	etag:W/%225f2fe023-9f6%22	http://paul-themes.com/html/skape/assets/fonts/Skape/style.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/fonts/Skape/style.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:22	10966/10966	---MCZ	200	added ('OK')	text/css	etag:W/%225f2fe021-33d9%22	http://paul-themes.com/html/skape/assets/fonts/Socicons/socicon.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/fonts/Socicons/socicon.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:22	0/0	---M--	200	added ('OK')	text/css	etag:%225f2fe001-0%22	http://paul-themes.com/html/skape/assets/css/custom.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/css/custom.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:23	155433/155433	---MCZ	200	added ('OK')	text/css	etag:W/%225f2fe002-25f29%22	http://paul-themes.com/html/skape/assets/css/vlt-main.min.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/css/vlt-main.min.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:24	30716/30716	---MCZ	200	added ('OK')	text/css	etag:W/%225f2fe00e-9b8c%22	http://paul-themes.com/html/skape/assets/revo/css/settings.css	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/revo/css/settings.css	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:25	1556/1556	---M--	200	added ('OK')	image/png	etag:%225f2fe01b-614%22	http://paul-themes.com/html/skape/assets/img/root/logo-black.png	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/img/root/logo-black.png	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:25	64699/64699	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:24%20GMT	http://paul-themes.com/html/skape/index.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/index.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:25	1554/1554	---M--	200	added ('OK')	image/png	etag:%225f2fe01d-612%22	http://paul-themes.com/html/skape/assets/img/root/logo-white.png	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/assets/img/root/logo-white.png	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:26	53279/53279	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:26%20GMT	http://paul-themes.com/html/skape/homepage-01.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-01.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:26	60806/60806	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:26%20GMT	http://paul-themes.com/html/skape/homepage-02.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-02.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:27	47410/47410	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:27%20GMT	http://paul-themes.com/html/skape/homepage-04.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-04.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:28	32854/32854	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:28%20GMT	http://paul-themes.com/html/skape/homepage-05.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-05.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:28	37610/37610	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:29%20GMT	http://paul-themes.com/html/skape/homepage-06.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-06.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:28	32818/32818	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:29%20GMT	http://paul-themes.com/html/skape/homepage-08.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-08.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:29	31004/31004	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:29%20GMT	http://paul-themes.com/html/skape/homepage-09.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-09.html	(from http://paul-themes.com/html/skape/homepage-07.html)
18:45:30	53766/53766	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:45:27%20GMT	http://paul-themes.com/html/skape/homepage-03.html	C:/My%20Web%20Sites/portfolio%20design/paul-themes.com/html/skape/homepage-03.html	(from http://paul-themes.com/html/skape/homepage-07.html)
